time,P_turbine_1,P_total,E_total
0.3501785258978626,7.298595134113303e-44,7.298595134113303e-44,1.2779056425945545e-44
0.7003570517957252,1.40422664850935e-43,1.40422664850935e-43,5.014461374196611e-44
1.0505355776935876,1.6936268792900362e-43,1.6936268792900362e-43,1.0438470283258022e-43
1.4007141035914503,8.59240550504725e-43,8.59240550504725e-43,2.8448208571682565e-43
1.750892629489313,8.980108058331686e-43,8.980108058331686e-43,5.921579305140373e-43
2.1010711553871757,2.773718659820664e-42,2.773718659820664e-42,1.2350383364032403e-42
2.4512496812850384,1.1228765102064597e-42,1.1228765102064597e-42,1.9172903127336554e-42
2.801428207182901,8.578202044361175e-41,8.578202044361175e-41,1.7133404667030515e-41
3.151606733080764,3.2024089583239685e-41,3.2024089583239685e-41,3.775998964251265e-41
3.5017852589786265,3.253767149762315e-38,3.253767149762315e-38,5.740363984477542e-39
3.851963784876489,7.625889659091755e-43,7.625889659091755e-43,1.1437494426210805e-38
4.202142310774351,3.271996637671847e-36,3.271996637671847e-36,5.843291076086953e-37
4.552320836672214,2.0456687179306413e-36,2.0456687179306413e-36,1.515395215330202e-36
4.902499362570077,9.820829864422748e-35,9.820829864422748e-35,1.9068788468476688e-35
5.2526778884679395,9.948170960545547e-34,9.948170960545547e-34,2.1044579921075124e-34
5.602856414365802,3.652438838845548e-35,3.652438838845548e-35,3.910226195705346e-34
5.953034940263665,5.002165242149334e-32,5.002165242149334e-32,9.155671901780026e-33
6.303213466161528,7.483403349688153e-32,7.483403349688153e-32,3.101656192421155e-32
6.65339199205939,9.671224199749845e-32,9.671224199749845e-32,6.105247286215686e-32
7.003570517957253,6.886025281506958e-30,6.886025281506958e-30,1.2836548392183982e-30
7.353749043855116,5.717540189219881e-30,5.717540189219881e-30,3.490403828016561e-30
7.703927569752978,8.989480123966877e-30,8.989480123966877e-30,6.065445174827392e-30
8.054106095650841,5.2782128559972025e-28,5.2782128559972025e-28,1.0005524648843922e-28
8.404284621548703,6.720829644298613e-28,6.720829644298613e-28,3.101455972354084e-28
8.754463147446565,7.345823565746642e-29,7.345823565746642e-29,4.4068185645676e-28
9.104641673344426,2.2495423520036817e-26,2.2495423520036817e-26,4.392250728642845e-27
9.454820199242288,7.24259981508096e-26,7.24259981508096e-26,2.1011972487056023e-26
9.80499872514015,2.2086824664851947e-27,2.2086824664851947e-27,3.407970370676703e-26
10.155177251038012,3.1798937145880328e-25,3.1798937145880328e-25,9.014294496622782e-26
10.505355776935874,3.935901729712046e-24,3.935901729712046e-24,8.349536025352479e-25
10.855534302833735,3.84672606861709e-24,3.84672606861709e-24,2.197608167550557e-24
11.205712828731597,2.434722958132032e-26,2.434722958132032e-26,2.875391538153404e-24
11.555891354629459,5.582112097395501e-23,5.582112097395501e-23,1.2653333404948538e-23
11.90606988052732,3.3888494749761596e-22,3.3888494749761596e-22,8.176212801510616e-23
12.256248406425183,2.3995249449629546e-22,2.3995249449629546e-22,1.8311034910106465e-22
12.606426932323044,2.5509882339567423e-24,2.5509882339567423e-24,2.255701051548533e-22
12.956605458220906,3.379337860434039e-21,3.379337860434039e-21,8.177025310433412e-22
13.306783984118768,2.2198066490746073e-20,2.2198066490746073e-20,5.2960314070382454e-21
13.65696251001663,2.494646223483651e-20,2.494646223483651e-20,1.3550532193675199e-20
14.007141035914492,4.083271059909416e-22,4.083271059909416e-22,1.7989883571586088e-20
14.357319561812353,6.074499622263692e-20,6.074499622263692e-20,2.86971738800732e-20
14.707498087710215,9.000459368459113e-19,9.000459368459113e-19,1.969213501990609e-19
15.057676613608077,2.3118133778841472e-18,2.3118133778841472e-18,7.592834303108052e-19
15.407855139505939,1.1792271083453337e-18,1.1792271083453337e-18,1.3705271359696024e-18
15.7580336654038,2.341092462506655e-21,2.341092462506655e-21,1.5774070413729415e-18
16.108212191301664,1.0711185864128771e-17,1.0711185864128771e-17,3.4532305797860206e-18
16.458390717199528,9.735211793796718e-17,9.735211793796718e-17,2.23739547943215e-17
16.80856924309739,2.434592602112164e-16,2.434592602112164e-16,8.204636779907174e-17
17.158747768995255,1.9412341301827906e-16,1.9412341301827906e-16,1.5866239553404736e-16
17.50892629489312,9.421889517596312e-18,9.421889517596312e-18,1.9430099253177112e-16
17.859104820790982,1.3059737338770318e-16,1.3059737338770318e-16,2.1881686207251272e-16
18.209283346688846,3.1332508745590216e-15,3.1332508745590216e-15,7.902816461826672e-16
18.55946187258671,1.33053660592612e-14,1.33053660592612e-14,3.668506969025079e-15
18.909640398484573,2.1355844579624752e-14,2.1355844579624752e-14,9.737312792705292e-15
19.259818924382436,9.464866831173343e-15,9.464866831173343e-15,1.5133688437183662e-14
19.6099974502803,6.904951719119292e-18,6.904951719119292e-18,1.6792093977470794e-14
19.960175976178164,9.978872748086163e-14,9.978872748086163e-14,3.426523770561387e-14
20.310354502076027,1.5384396139771134e-12,1.5384396139771134e-12,3.2110143055354173e-13
20.66053302797389,9.234849186712572e-12,9.234849186712572e-12,2.20738862620228e-12
21.010711553871754,3.517850001682709e-11,3.517850001682709e-11,9.983689203343565e-12
21.360890079769618,1.0060339319683119e-10,1.0060339319683119e-10,3.375764080793356e-11
21.71106860566748,2.3470444408591334e-10,2.3470444408591334e-10,9.246644289876965e-11
22.061247131565345,4.697290389551004e-10,4.697290389551004e-10,2.1580518224096958e-10
22.41142565746321,8.350236177510581e-10,8.350236177510581e-10,4.442533632343115e-10
22.761604183361072,1.3536055900096903e-9,1.3536055900096903e-9,8.274588380896454e-10
23.111782709258936,2.0432071509419395e-9,2.0432071509419395e-9,1.422204277278407e-9
23.4619612351568,2.920955390864452e-9,2.920955390864452e-9,2.291375837881984e-9
23.812139761054663,4.009026734118583e-9,4.009026734118583e-9,3.5047413003945354e-9
24.162318286952527,5.338630716935716e-9,5.338630716935716e-9,5.141415753798723e-9
24.51249681285039,6.950938018207935e-9,6.950938018207935e-9,7.2931872855952614e-9
24.862675338748254,8.895007337904822e-9,8.895007337904822e-9,1.0067642178726092e-8
25.212853864646117,1.122375965320793e-8,1.122375965320793e-8,1.3590222262641322e-8
25.56303239054398,1.398950399593491e-8,1.398950399593491e-8,1.8004794011506835e-8
25.913210916441844,1.724052499453687e-8,1.724052499453687e-8,2.3472836769322312e-8
26.263389442339708,2.1019843890843554e-8,2.1019843890843554e-8,3.017181655761781e-8
26.61356796823757,2.5366522402561647e-8,2.5366522402561647e-8,3.8293571242809304e-8
26.963746494135435,3.031900128921768e-8,3.031900128921768e-8,4.8043508542928226e-8
27.3139250200333,3.591928669065516e-8,3.591928669065516e-8,5.964112156432325e-8
27.664103545931162,4.221659470354509e-8,4.221659470354509e-8,7.332187544749892e-8
28.014282071829026,4.926938876938006e-8,4.926938876938006e-8,8.934008886393154e-8
28.36446059772689,5.7145403888837325e-8,5.7145403888837325e-8,1.0797217647732222e-7
28.714639123624753,6.591994447640453e-8,6.591994447640453e-8,1.2951959761714593e-7
29.064817649522617,7.567321672935898e-8,7.567321672935898e-8,1.5431103985127234e-7
29.41499617542048,8.648759856361372e-8,8.648759856361372e-8,1.827036574801168e-7
29.765174701318344,9.844558644499992e-8,9.844558644499992e-8,2.150834725380734e-7
30.115353227216207,1.1162880436633961e-7,1.1162880436633961e-7,2.518652427896767e-7
30.46553175311407,1.2611806320211753e-7,1.2611806320211753e-7,2.9349216660065514e-7
30.815710279011935,1.4199415010466467e-7,1.4199415010466467e-7,3.4043573641614643e-7
31.165888804909798,1.5933888874826174e-7,1.5933888874826174e-7,3.9319591609106717e-7
31.51606733080766,1.7823605590396452e-7,1.7823605590396452e-7,4.523016643402519e-7
31.866245856705525,1.987719187765612e-7,1.987719187765612e-7,5.183117127529347e-7
32.216424382603385,2.2103538308671673e-7,2.2103538308671673e-7,5.91815463816755e-7
32.566602908501245,2.4511792353353403e-7,2.4511792353353403e-7,6.734339026941013e-7
32.916781434399105,2.7111354432390756e-7,2.7111354432390756e-7,7.63820489912305e-7
33.266959960296965,2.9911897227357907e-7,2.9911897227357907e-7,8.636620809528724e-7
33.617138486194825,3.2923414781674114e-7,3.2923414781674114e-7,9.736799656211472e-7
33.967317012092686,3.615629087847572e-7,3.615629087847572e-7,1.094631113108794e-6
34.317495537990546,3.962136236472501e-7,3.962136236472501e-7,1.22730964765231e-6
34.667674063888406,4.3329947633922394e-7,4.3329947633922394e-7,1.372548484935424e-6
35.017852589786266,4.7293815615433616e-7,4.7293815615433616e-7,1.5312209640653046e-6
